seller_id,seller_name,seller_location,seller_rating
1,Fandom Finds,New York City,2.5
2,Inside Joke Emporium,New York City,4.0
3,Custom Culture,New York City,3.6
4,Pop Art Provisions,Phoenix,3.0
5,Mystic Market,Los Angeles,4.2
6,The Graphic Garage,Houston,4.1
7,Quirk & Co.,Phoenix,4.5
8,Zen Zone,New York City,2.7
9,Motivation Merch,Houston,3.1
10,Quirk & Co.,Houston,3.1
11,Gamer Gear,Chicago,3.6
12,Wanderlust Wardrobe,Houston,3.2
13,Rebel Threads,New York City,2.9
14,Offbeat Outfitters,New York City,2.7
15,Custom Culture,New York City,2.7
16,Mystic Market,New York City,3.7
17,Zen Zone,Houston,4.3
18,Meme Mart,Phoenix,3.9
19,Fandom Finds,New York City,3.3
20,90s Nostalgia,Chicago,4.0
21,Fandom Finds,New York City,3.0
22,Expression Essentials,New York City,3.1
23,Fandom Finds,New York City,3.3
24,Urban Edge,New York City,2.8
25,Gadget Guru,New York City,3.0
26,Canvas Couture,Chicago,2.6
27,Sarcasm Society,New York City,3.8
28,Gadget Guru,Los Angeles,4.0
29,Vinyl Vault,Los Angeles,4.4
30,Dreamer's Den,Los Angeles,3.2
31,The Graphic Garage,Houston,3.7
32,Sarcasm Society,New York City,3.0
33,Cult Classic Closet,New York City,3.6
34,Print Pop,Los Angeles,4.1
35,Mystic Market,Los Angeles,3.0
36,Misfit Merch,Los Angeles,3.8
37,Ironic Icons,New York City,2.5
38,Minimalist Manifesto,New York City,3.9
39,Print Pop,Los Angeles,2.5
40,Canvas Couture,New York City,3.4
